Site,File,doi,Mask,assessment,Type,lonbci,latbci,Proxy,lon0,lat0,lonb,latb,lonh,lath,lonbc,latbc,DepthOri,Depth,deepMIPprePETM,deepMIPprePETMstd,deepMIPprePETMn,deepMIPPETM,deepMIPPETMstd,deepMIPPETMn,,prePETMmean,prePETMstd,prePETMn,peakPETM,peakPETMstd,peakPETMn,PETMmean,PETMstd,PETMn,postPETMmean,postPETMstd,postPETMn,Glassy,mg_bcp_red,d18osw_local,d18osw_1x,d18osw_3x,d18osw_6x,d18osw_9x,JESS NOTES
999,Bralower et al. (1997),,Caribbean,"Panchunk et al., 2008",caco3,-87.45,9.6,caco3,-78.73,12.75,-71.65,2.85,-77.45,3.75,-77.45,3.75,1750,1750,61,,,0,,,,55.3,8.1,2,0.3,0,6,0.255,0.05,6,59.435,12.52872566,4,,,,,,,,
1001,Bralower et al. (1997),,Caribbean,"Panchunk et al., 2008",caco3,-69.15,12.9,caco3,-74.92,15.75,-59.15,12.25,-66.8,14.55,-59.15,12.25,1500,1500,45,,,0,,,,65.2,13.9,13,2.6,2.6,3,2.637,2.64,3,67.21833333,17.26551046,12,,,,,,,,
401,"Bornemann et al., 2014",,NorthAtlantic,this study,caco3,-10.95,41.8,caco3,-8.810333333,47.4275,-4.25,35.55,-10.95,41.8,-10.95,41.8,,2000,71.9,2.2,3,49.175,8.169,11,,71.9,2.2,3,49.175,8.169,11,49.175,8.169,11,38.62177287,4.04228428,15,,,,,,,,
549,Thomas & Bralower (2005),,NorthAtlantic,"Panchunk et al., 2008",caco3,-20.01,41.8,caco3,-13.1,49.09,-7.75,37.95,-14.75,43.75,-20.01,43.75,2000-2300,2150,51,,,1,,,,55.3,2.6,4,0.7,0.1,5,0.682,0.116,5,45.05928571,2.944432724,14,,,,,,,,
1050,Rudnicki et al. (2001),,NorthAtlantic,"Panchunk et al., 2008",caco3,-61.25,30.1,caco3,-76.235,30.09994,-51.25,25.95,-59.65,28.9,-51.25,25.95,,2300,63,,,57,,,,63,,,57,,,57,,,,,,,,,,,,,
1051,Rudnicki et al. (2001),,NorthAtlantic,"Panchunk et al., 2008",caco3,-61.25,30.1,caco3,-76.36,30.05,-51.25,25.95,-59.65,28.9,-51.25,25.95,1000-2000,1500,56,,,52,,,,56,,,52,,,52,,,,,,,,,,,,,
1403,"Penman et al., 2016",,NorthAtlantic,this study,caco3,-41,37.5,caco3,-51.80333,39.943328,-26.85,30.25,-34.75,35.45,-26.85,30.25,,4374,0.4,0.1,15,0.3,0.1,5,,0.4,0.1,15,0.3,0.1,5,0.336,0.096,5,18.515,1.718269478,2,,,,,,,,
1409,"Penman et al., 2016",,NorthAtlantic,this study,caco3,-39,38,caco3,-49.233087,41.295737,-23.95,30.75,-31.85,36.1,-23.95,30.75,,2913,54.4,4.9,43,55.663,4.733,4,,54.4,4.9,43,55.663,4.733,4,55.663,4.733,4,70.91017241,2.538522496,58,,,,,,,,
1260,Mutterlose et al. (2007),,Atlantic,this study,caco3,-46.25,0.25,caco3,-54.54,9.27,-36.25,0.25,-41.8,4.85,-36.25,0.25,,1300,57.1,4.8,12,1,,2,,57.1,4.8,12,1,,2,1,,2,63.15,3.473230965,4,,,,,,,,
527,Thomas et al. (1999),,SouthAtlantic,this study,caco3,-17.75,-34.95,caco3,1.76,-28.04,-3.8,-41.45,-7.75,-34.95,-17.75,-34.95,3400,3400,83,2.9,6,1.6,1.2,6,,83,2.9,6,1.6,1.2,6,30.318,29.311,13,85.39,4.561089051,7,,,,,,,,
959,Frieling et al. (2018),,SouthAtlanticMargin,this study,caco3,-3.4,-10,caco3,-2.73583,3.6275,-3.4,-9.15,-8.55,-2.65,-3.4,-10,2091,1000,5.1,7.4,63,0.5,0.4,11,,5.1,7.4,63,0.5,0.4,11,1.215,1.613,111,13.50266625,3.567807208,16,,,,,,,,
1263,Zachos et al. (2005),,Walvis,"Panchunk et al., 2008",caco3,-12,-37.6,caco3,2.7795,-28.533,-2.85,-42.65,-6.85,-36.15,-12,-38,1500,1500,88,,,1,,,,87,1.9,10,1.3,,1,2.7,1.453,3,90.125,0.320156212,4,,,,,,,,
1265,Zachos et al. (2005),,Walvis,this study,caco3,-13,-38.5,caco3,2.64,-28.84,-2.85,-42.65,-6.85,-36.15,-13,-38.5,,1850,89,3.4,16,32.3,3.3,2,,89,3.4,16,32.3,3.3,2,56.181,13.965,16,89.4,2.535087112,7,,,,,,,,
1266,Zachos et al. (2005),,Walvis,this study,caco3,-9.9,-38.1,caco3,2.34,-28.54,-4.05,-42.45,-7.95,-35.95,-10.5,-38.1,2600,2600,82.8,1.8,9,0.6,0.3,4,,82.8,1.8,9,0.6,0.3,4,0.6,0.271,4,90.24242424,2.664351504,33,,,,,,,,
1267,Zachos et al. (2005),,Walvis,this study,caco3,-10.5,-37.65,caco3,1.71,-28.1,-3.8,-41.45,-7.75,-34.95,-3.8,-37.7,3200,3200,83.2,3.2,9,1.3,0.4,4,,83.2,3.2,9,1.3,0.4,4,1.335,0.388,4,89.49,1.499233137,3,,,,,,,,
1262,Zachos et al. (2005),,Walvis,this study,caco3,-11,-37,caco3,1.577,-27.185833,-3.55,-40.5,-7.55,-34,-11,-37,3600,3600,88,1.8,7,0.7,0.1,9,,88.5,1.8,7,0.7,0.1,9,0.689,0.145,9,92.23571429,1.388749932,14,,,,,,,,
164,Van Andel (1975),,Pacific,,caco3,-131.55,3.2,caco3,-161.517,13.2017,-121.55,3.25,-127.1,-1,-131.55,3.25,,5220,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
166,Van Andel (1975),,Pacific,,caco3,-145.35,-4.25,caco3,-175.08,3.7617,-135.35,-4.25,-140.35,-9.45,-145.35,-4.25,,4880,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
"168,169",Van Andel (1975),,Pacific,,caco3,-155.15,3,caco3,173.598,10.7033,-145.15,4.25,-150.65,-1.55,-155.15,4.25,,5000,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
170,Van Andel (1975),,Pacific,,caco3,-151.15,3.1,caco3,177.617,11.8,-141.15,4.65,-146.65,-0.95,-151.15,4.65,,5250,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
212,Van Andel (1975),,Indian,,caco3,73.05,-42,caco3,99.2973,-19.189,93.05,-41.05,82.35,-39.85,83.05,-41.05,,6050,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
248,Van Andel (1975),,Southern,,caco3,28.45,-46.5,caco3,37.4747,-29.5297,38.45,-45.65,30.55,-39.6,28.45,-45.65,,4170,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
250,Van Andel (1975),,Southern,,caco3,29,-51.3,caco3,39.3692,-33.4623,41.15,-48.35,32.75,-42.65,31.15,-48.35,,5080,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
256,Van Andel (1975),,Indian,,caco3,75.05,-45.25,caco3,100.774,-23.4558,95.05,-45.25,83.45,-44.15,85.05,-45.25,,5000,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
260,Van Andel (1975),,Indian,,caco3,86.9,-37.5,caco3,110.299,-16.1445,106.9,-38.7,96.35,-38.95,96.9,-38.7,,5080,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
261,Van Andel (1975),,Indian,,caco3,96.45,-33.5,caco3,117.893,-12.9472,116.45,-35.45,106.55,-36.75,106.45,-35.45,,5400,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
303,Van Andel (1975),,Pacific,,caco3,-168.05,36.95,caco3,154.451,40.8083,-158.05,36.95,-164.1,30.85,-168.05,36.95,,5540,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
304,Van Andel (1975),,Pacific,,caco3,-167.65,34.85,caco3,155.07,39.3378,-157.65,34.85,-163.75,28.75,-167.65,34.85,,5600,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
307,Van Andel (1975),,Pacific,,caco3,-164.45,24.05,caco3,161.005,28.5877,-154.45,24.05,-160.35,17.95,-164.45,24.05,,5520,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
315,Van Andel (1975),,Pacific,,caco3,-141,-6.4,caco3,-158.526,4.171,-119.45,-5.95,-124.15,-10,-129.45,-5.95,,4120,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
316,Van Andel (1975),,Pacific,,caco3,-137.75,-10.05,caco3,-157.128,0.0907,-117.75,-10.05,-122.1,-14,-127.75,-10.05,,4020,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
